mode,persona,run,total_deaths,system_deaths,natural_deaths,admin_waste_eur,proactive_alerts,ketenzorg_interventions,er_admissions,peak_burnout,avg_burnout,sick_leave_events,bias_score,fairness_guardrail,a2a_pre_briefs,outreach_opt_outs,unique_citizens_contacted,reach_0_44,reach_45_64,reach_65_79,reach_80plus
IST,on,1,6,5,1,33561,0,66,57,38,15.7,0,0.3,0,0,0,0,0,0,0,0
IST,on,2,14,11,3,33561,0,116,91,43,20.9,0,0.3,0,0,0,0,0,0,0,0
IST,on,3,8,7,1,33561,0,63,88,40,24.45,0,0.337,0,0,0,0,0,0,0,0
IST,on,4,5,4,1,33561,0,66,79,38,23,0,0.319,0,0,0,0,0,0,0,0
IST,on,5,5,2,3,33561,0,82,63,39,18.4,0,0.3,0,0,0,0,0,0,0,0
IST,on,6,5,4,1,33561,0,85,89,42,23.25,0,0.3,0,0,0,0,0,0,0,0
IST,on,7,8,5,3,33561,0,80,74,40,22.85,0,0.3,0,0,0,0,0,0,0,0
IST,on,8,8,6,2,33561,0,72,80,41,21.85,0,0.3,0,0,0,0,0,0,0,0
IST,on,9,8,8,0,33561,0,119,84,41,22.75,0,0.3,0,0,0,0,0,0,0,0
IST,on,10,8,7,1,33561,0,38,53,39,12.2,0,0.3,0,0,0,0,0,0,0,0
IST,on,11,1,1,0,33561,0,52,58,36,19.6,0,0.3,0,0,0,0,0,0,0,0
IST,on,12,6,5,1,33561,0,54,55,38,16.55,0,0.3,0,0,0,0,0,0,0,0
IST,on,13,7,6,1,33561,0,41,55,37,16.85,0,0.303,0,0,0,0,0,0,0,0
IST,on,14,5,5,0,33561,0,41,72,41,22,0,0.3,0,0,0,0,0,0,0,0
IST,on,15,6,2,4,33561,0,36,79,39,20.75,0,0.391,0,0,0,0,0,0,0,0
IST,on,16,7,4,3,33561,0,46,56,37,18.45,0,0.3,0,0,0,0,0,0,0,0
IST,on,17,6,4,2,33561,0,39,54,39,18.6,0,0.3,0,0,0,0,0,0,0,0
IST,on,18,5,5,0,33561,0,65,72,41,19.35,0,0.3,0,0,0,0,0,0,0,0
IST,on,19,4,3,1,33561,0,97,61,39,22.95,0,0.3,0,0,0,0,0,0,0,0
IST,on,20,5,3,2,33561,0,8,28,35,11.6,0,0.3,0,0,0,0,0,0,0,0
IST,on,21,5,4,1,33561,0,56,43,38,15.15,0,0.3,0,0,0,0,0,0,0,0
IST,on,22,7,5,2,33561,0,192,119,45,26.05,0,0.3,0,0,0,0,0,0,0,0
IST,on,23,6,4,2,33561,0,27,57,39,16.65,0,0.3,0,0,0,0,0,0,0,0
IST,on,24,7,6,1,33561,0,42,46,38,18.4,0,0.3,0,0,0,0,0,0,0,0
IST,on,25,7,7,0,33561,0,171,116,43,22.9,0,0.3,0,0,0,0,0,0,0,0
IST,on,26,6,6,0,33561,0,104,71,39,21,0,0.3,0,0,0,0,0,0,0,0
IST,on,27,9,8,1,33561,0,39,58,40,17.75,0,0.3,0,0,0,0,0,0,0,0
IST,on,28,8,7,1,33561,0,100,85,44,23.8,0,0.3,0,0,0,0,0,0,0,0
IST,on,29,7,6,1,33561,0,67,72,38,17.3,0,0.3,0,0,0,0,0,0,0,0
IST,on,30,8,7,1,33561,0,50,44,37,15.85,0,0.362,0,0,0,0,0,0,0,0
IST,on,31,4,2,2,33561,0,62,76,38,22.8,0,0.3,0,0,0,0,0,0,0,0
IST,on,32,6,6,0,33561,0,99,92,40,21.7,0,0.3,0,0,0,0,0,0,0,0
IST,on,33,9,8,1,33561,0,107,104,41,24.05,0,0.401,0,0,0,0,0,0,0,0
IST,on,34,11,7,4,33561,0,72,61,44,15.55,0,0.3,0,0,0,0,0,0,0,0
IST,on,35,5,3,2,33561,0,105,107,41,25.75,0,0.3,0,0,0,0,0,0,0,0
IST,on,36,6,4,2,33561,0,70,112,45,24.6,0,0.3,0,0,0,0,0,0,0,0
IST,on,37,6,4,2,33561,0,78,82,41,23.4,0,0.3,0,0,0,0,0,0,0,0
IST,on,38,3,2,1,33561,0,9,41,38,10.8,0,0.3,0,0,0,0,0,0,0,0
IST,on,39,1,0,1,33561,0,11,37,36,12,0,0.3,0,0,0,0,0,0,0,0
IST,on,40,8,5,3,33561,0,81,57,39,17.7,0,0.3,0,0,0,0,0,0,0,0
