mode,persona,run,total_deaths,system_deaths,natural_deaths,admin_waste_eur,proactive_alerts,ketenzorg_interventions,er_admissions,peak_burnout,avg_burnout,sick_leave_events,bias_score,fairness_guardrail,a2a_pre_briefs,outreach_opt_outs,unique_citizens_contacted,reach_0_44,reach_45_64,reach_65_79,reach_80plus
SOLL,on,1,8,6,2,5594,341,288,66,20,4.85,0,0.3,0,341,0,18,82,110,30,119
SOLL,on,2,8,7,1,5594,264,119,65,15,4.2,0,0.473,0,264,65,14,38,97,41,88
SOLL,on,3,2,2,0,5594,161,134,47,12,2.45,0,0.3,0,161,0,8,38,63,60,0
SOLL,on,4,7,5,2,5594,436,298,72,22,5.9,0,0.3,1,436,37,15,10,15,316,95
SOLL,on,5,11,10,1,5594,407,337,88,20,5.65,0,0.31,1,407,3,21,153,35,204,15
SOLL,on,6,6,4,1,5594,259,161,46,17,4.15,0,0.996,0,259,10,17,93,104,43,19
SOLL,on,7,6,3,3,5594,264,203,57,17,3.9,0,0.3,0,264,1,20,172,24,5,63
SOLL,on,8,5,4,1,5594,272,166,57,14,4.2,0,0.3,0,272,0,15,86,97,89,0
SOLL,on,9,6,6,0,5594,235,171,47,18,3.4,0,0.3,0,235,0,17,26,18,118,73
SOLL,on,10,9,8,1,5594,260,215,47,16,3.9,0,0.3,0,260,35,20,42,120,69,29
SOLL,on,11,4,4,0,5594,185,30,36,14,2.75,0,0.3,0,185,101,12,111,51,23,0
SOLL,on,12,6,4,2,5594,244,179,49,13,3.8,0,0.55,0,244,38,15,66,59,118,1
SOLL,on,13,7,6,1,5594,181,59,44,12,3.15,0,0.3,0,181,132,13,110,33,0,38
SOLL,on,14,6,4,2,5594,197,84,57,16,3.2,0,0.4,1,197,0,18,74,41,35,47
SOLL,on,15,4,2,2,5594,233,277,46,14,3.4,0,0.3,1,233,55,11,45,3,21,164
SOLL,on,16,6,5,1,5594,320,308,68,17,4.7,0,0.3,0,320,86,19,38,114,101,67
SOLL,on,17,13,10,3,5594,582,478,110,24,6.9,0,0.3,1,582,84,20,78,49,211,244
SOLL,on,18,3,2,0,5594,199,69,31,14,2.95,0,0.682,0,199,0,13,106,59,34,0
SOLL,on,19,1,1,0,5594,282,123,50,15,4,0,0.3,0,282,49,15,202,0,55,25
SOLL,on,20,7,6,1,5594,415,255,74,17,5.65,0,0.3,1,415,59,16,29,49,258,79
SOLL,on,21,7,6,1,5594,533,142,91,23,6.65,0,0.3,0,533,0,26,64,156,192,121
SOLL,on,22,2,1,1,5594,274,180,50,14,4.15,0,0.3,0,274,0,15,93,37,0,144
SOLL,on,23,3,3,0,5594,114,23,19,11,1.9,0,0.326,0,114,0,11,23,30,55,6
SOLL,on,24,2,2,0,5594,166,61,50,14,2.6,0,0.3,0,166,67,16,142,24,0,0
SOLL,on,25,8,6,2,5594,197,95,42,15,3.4,0,0.7,0,197,19,17,110,60,7,20
SOLL,on,26,12,7,5,5594,358,136,85,18,4.95,0,0.617,1,358,137,20,78,68,162,50
SOLL,on,27,7,3,3,5594,400,259,72,21,5.7,0,0.562,0,400,158,21,162,124,5,109
SOLL,on,28,2,2,0,5594,339,172,61,18,4.8,0,0.3,0,339,112,22,143,109,63,24
SOLL,on,29,4,4,0,5594,261,308,52,15,4.1,0,0.3,0,261,85,15,85,60,17,99
SOLL,on,30,4,4,0,5594,279,145,52,19,4.3,0,0.3,0,279,94,18,125,78,76,0
SOLL,on,31,3,3,0,5594,442,217,74,20,5.8,0,0.396,0,442,10,17,174,152,116,0
SOLL,on,32,4,4,0,5594,415,173,71,19,5.5,0,0.3,0,415,86,19,125,82,92,116
SOLL,on,33,1,0,1,5594,230,126,53,14,3.45,0,0,0,230,58,13,143,87,0,0
SOLL,on,34,6,2,4,5594,363,251,72,18,4.8,0,0.363,0,363,16,16,85,68,78,132
SOLL,on,35,5,2,3,5594,365,294,74,15,5.25,0,0.85,1,365,15,18,128,65,13,159
SOLL,on,36,7,4,3,5594,253,150,57,17,3.85,0,0.3,0,253,81,16,106,51,61,35
SOLL,on,37,5,5,0,5594,215,32,49,13,3.3,0,0.3,0,215,49,16,124,0,4,87
SOLL,on,38,10,8,2,5594,367,253,80,22,4.95,0,0.3,1,367,0,20,147,83,101,36
SOLL,on,39,6,5,1,5594,395,314,74,19,5.75,0,0.3,0,395,74,17,98,124,84,89
SOLL,on,40,8,8,0,5594,283,191,59,16,4.2,0,0.3,1,283,28,17,68,17,198,0
SOLL,on,41,7,4,3,5594,316,206,66,18,4.45,0,0.3,0,316,112,18,73,111,132,0
SOLL,on,42,7,7,0,5594,263,202,56,14,4.1,0,0.3,0,263,66,18,84,119,9,51
SOLL,on,43,6,6,0,5594,446,194,89,20,5.75,0,0.3,0,446,163,22,169,39,119,119
SOLL,on,44,10,7,3,5594,376,222,71,18,5.1,0,0.3,1,376,59,22,92,17,30,237
SOLL,on,45,8,6,2,5594,339,238,59,20,4.9,0,0.3,0,339,6,17,95,100,112,32
SOLL,on,46,4,4,0,5594,208,104,55,14,3.4,0,0.31,1,208,122,15,135,47,12,14
SOLL,on,47,12,7,5,5594,511,309,92,20,6.45,0,1,1,511,85,20,89,104,222,96
SOLL,on,48,2,2,0,5594,283,109,64,16,4.45,0,0.3,0,283,107,16,177,26,80,0
SOLL,on,49,5,4,1,5594,299,118,74,15,4.3,0,0.3,0,299,136,15,83,36,68,112
SOLL,on,50,8,5,3,5594,411,230,82,22,5.4,0,0.3,0,411,20,19,59,156,167,29
SOLL,on,51,7,6,0,5594,316,204,56,18,4.8,0,0.321,1,316,150,20,124,9,183,0
SOLL,on,52,3,3,0,5594,505,323,73,19,6.25,0,0.3,0,505,32,16,136,46,323,0
SOLL,on,53,5,5,0,5594,208,74,45,16,3.2,0,0.7,0,208,80,15,122,30,1,55
SOLL,on,54,4,3,1,5594,349,126,59,20,4.8,0,0.3,0,349,89,21,80,128,141,0
SOLL,on,55,7,6,1,5594,359,118,66,17,4.85,0,0.3,1,359,70,14,67,36,182,74
SOLL,on,56,7,5,2,5594,358,195,62,19,5.15,0,0.3,0,358,66,15,56,51,100,151
SOLL,on,57,4,2,1,5594,194,57,40,17,3,0,0.7,0,194,63,14,110,81,0,3
SOLL,on,58,5,5,0,5594,446,263,88,20,6.1,0,0.468,1,446,42,17,113,83,148,102
SOLL,on,59,5,5,0,5594,318,162,69,18,4.6,0,0.3,1,318,52,19,27,80,113,98
SOLL,on,60,8,5,3,5594,312,217,67,16,4.6,0,0.3,0,312,236,14,29,89,99,95
SOLL,on,61,5,4,1,5594,446,170,92,20,6.05,0,0.3,0,446,0,19,174,52,173,47
SOLL,on,62,9,7,2,5594,326,169,69,24,4.75,0,0.433,1,326,108,20,197,34,95,0
SOLL,on,63,9,5,4,5594,327,230,49,17,4.45,0,0.3,0,327,14,19,121,15,102,89
SOLL,on,64,4,4,0,5594,305,208,54,17,4.65,0,0.3,1,305,0,17,107,48,150,0
SOLL,on,65,8,5,3,5594,396,208,80,18,5.45,0,0.3,0,396,100,18,100,19,21,256
SOLL,on,66,10,5,5,5594,533,397,80,18,6.85,0,0.544,1,533,4,22,124,22,119,268
SOLL,on,67,2,2,0,5594,230,34,48,16,3.4,0,0.3,0,230,97,14,146,43,41,0
SOLL,on,68,7,6,1,5594,404,178,87,18,5.6,0,0.675,1,404,0,17,81,39,278,6
SOLL,on,69,6,6,0,5594,593,523,94,20,7.05,0,0.3,0,593,0,21,163,156,258,16
SOLL,on,70,8,6,1,5594,443,214,79,19,5.85,0,0.828,0,443,10,17,108,94,33,208
SOLL,on,71,2,2,0,5594,190,61,40,16,3.05,0,0.3,0,190,102,13,157,33,0,0
SOLL,on,72,9,8,1,5594,328,174,68,20,4.7,0,0.3,0,328,15,17,78,85,44,121
SOLL,on,73,2,1,1,5594,397,235,66,19,5.6,0,0.3,0,397,0,16,69,61,0,267
SOLL,on,74,4,3,1,5594,181,46,42,15,2.75,0,0.3,0,181,0,15,83,51,22,25
SOLL,on,75,5,4,1,5594,346,236,76,19,5.3,0,0.789,0,346,170,18,124,106,28,88
SOLL,on,76,4,2,2,5594,358,119,65,16,5.15,0,0.3,0,358,39,16,79,62,217,0
SOLL,on,77,4,2,2,5594,114,53,39,14,2.05,0,0.3,1,114,21,13,93,2,19,0
SOLL,on,78,8,5,3,5594,408,247,68,20,5.65,0,0.3,0,408,254,15,79,23,111,195
SOLL,on,79,6,5,1,5594,261,84,50,17,3.8,0,0.3,0,261,114,17,56,86,0,119
SOLL,on,80,3,2,0,5594,224,66,42,14,3.4,0,0.7,0,224,85,14,68,50,103,3
SOLL,on,81,5,3,2,5594,444,173,91,23,6,0,0.3,0,444,30,23,146,140,10,148
SOLL,on,82,6,5,1,5594,366,233,73,18,4.9,0,0.3,1,366,94,18,110,182,0,74
SOLL,on,83,3,2,1,5594,494,331,86,18,6.55,0,0.3,0,494,18,20,104,98,142,150
SOLL,on,84,6,5,1,5594,268,184,64,16,3.8,0,0.3,0,268,119,21,87,106,75,0
SOLL,on,85,6,5,1,5594,193,83,51,16,3.15,0,0.342,0,193,8,17,43,102,43,5
SOLL,on,86,3,2,1,5594,126,35,30,12,1.95,0,0.3,0,126,9,11,60,59,7,0
SOLL,on,87,7,7,0,5594,382,319,72,19,5.1,0,0.3,0,382,81,19,164,68,80,70
SOLL,on,88,4,2,1,5594,246,156,47,15,3.6,0,1,1,246,4,17,99,38,72,37
SOLL,on,89,4,3,1,5594,496,276,102,21,6.45,0,0.489,0,496,34,19,95,163,40,198
SOLL,on,90,6,5,1,5594,285,163,60,20,4.3,0,0.3,0,285,61,15,80,95,103,7
SOLL,on,91,7,7,0,5594,362,147,69,21,4.9,0,0.3,0,362,145,19,48,141,124,49
SOLL,on,92,6,4,2,5594,350,165,80,19,4.9,0,0.3,1,350,59,15,90,71,152,37
SOLL,on,93,3,1,2,5594,215,133,29,16,3.55,0,0.3,0,215,107,12,98,11,54,52
SOLL,on,94,9,6,3,5594,355,253,56,17,5.2,0,0.4,1,355,166,16,50,74,134,97
SOLL,on,95,10,9,1,5594,133,91,31,15,2.35,0,1,0,133,67,16,49,37,32,15
SOLL,on,96,7,5,2,5594,587,517,104,20,7.45,0,0.3,1,587,61,20,77,113,9,388
SOLL,on,97,7,6,1,5594,251,117,69,19,3.6,0,0.3,1,251,44,17,120,45,0,86
SOLL,on,98,4,3,1,5594,257,188,60,14,3.75,0,0.3,0,257,97,10,19,45,167,26
SOLL,on,99,7,6,1,5594,611,328,114,27,7.6,0,0.3,0,611,182,24,169,293,119,30
SOLL,on,100,3,1,2,5594,386,127,84,20,5.2,0,0.3,1,386,0,20,73,264,49,0
